kb;geom_3068
4521;POLYGON((32000 34000, 33600 34000, 33600 36400, 32000 36400, 32000 34000))
4522;POLYGON((30400 34000, 32000 34000, 32000 36400, 30400 36400, 30400 34000))
4523;POLYGON((28800 34000, 30400 34000, 30400 36400, 28800 36400, 28800 34000))
4524;POLYGON((27200 34000, 28800 34000, 28800 36400, 27200 36400, 27200 34000))
4525;POLYGON((33600 36400, 32000 36400, 32000 38800, 33600 38800, 33600 36400))
4526;POLYGON((30400 36400, 32000 36400, 32000 38800, 30400 38800, 30400 36400))
4527;POLYGON((28800 36400, 30400 36400, 30400 38800, 28800 38800, 28800 36400))
4528;POLYGON((27200 36400, 28800 36400, 28800 38800, 27200 38800, 27200 36400))
4031;POLYGON((25600 10000, 27200 10000, 27200 12400, 25600 12400, 25600 10000))
4032;POLYGON((24000 10000, 25600 10000, 25600 12400, 24000 12400, 24000 10000))
4033;POLYGON((22400 10000, 24000 10000, 24000 12400, 22400 12400, 22400 10000))
4034;POLYGON((20800 10000, 22400 10000, 22400 12400, 20800 12400, 20800 10000))
4035;POLYGON((27200 12400, 25600 12400, 25600 14800, 27200 14800, 27200 12400))
4036;POLYGON((24000 12400, 25600 12400, 25600 14800, 24000 14800, 24000 12400))
4037;POLYGON((22400 12400, 24000 12400, 24000 14800, 22400 14800, 22400 12400))
4038;POLYGON((20800 12400, 22400 12400, 22400 14800, 20800 14800, 20800 12400))
4131;POLYGON((25600 14800, 27200 14800, 27200 17200, 25600 17200, 25600 14800))
4132;POLYGON((24000 14800, 25600 14800, 25600 17200, 24000 17200, 24000 14800))
4133;POLYGON((22400 14800, 24000 14800, 24000 17200, 22400 17200, 22400 14800))
4134;POLYGON((20800 14800, 22400 14800, 22400 17200, 20800 17200, 20800 14800))
4135;POLYGON((27200 17200, 25600 17200, 25600 19600, 27200 19600, 27200 17200))
4136;POLYGON((24000 17200, 25600 17200, 25600 19600, 24000 19600, 24000 17200))
4137;POLYGON((22400 17200, 24000 17200, 24000 19600, 22400 19600, 22400 17200))
4138;POLYGON((20800 17200, 22400 17200, 22400 19600, 20800 19600, 20800 17200))
4231;POLYGON((25600 19600, 27200 19600, 27200 22000, 25600 22000, 25600 19600))
4232;POLYGON((24000 19600, 25600 19600, 25600 22000, 24000 22000, 24000 19600))
4233;POLYGON((22400 19600, 24000 19600, 24000 22000, 22400 22000, 22400 19600))
4234;POLYGON((20800 19600, 22400 19600, 22400 22000, 20800 22000, 20800 19600))
4235;POLYGON((27200 22000, 25600 22000, 25600 24400, 27200 24400, 27200 22000))
4236;POLYGON((24000 22000, 25600 22000, 25600 24400, 24000 24400, 24000 22000))
4237;POLYGON((22400 22000, 24000 22000, 24000 24400, 22400 24400, 22400 22000))
4238;POLYGON((20800 22000, 22400 22000, 22400 24400, 20800 24400, 20800 22000))
4331;POLYGON((25600 24400, 27200 24400, 27200 26800, 25600 26800, 25600 24400))
4332;POLYGON((24000 24400, 25600 24400, 25600 26800, 24000 26800, 24000 24400))
4333;POLYGON((22400 24400, 24000 24400, 24000 26800, 22400 26800, 22400 24400))
4334;POLYGON((20800 24400, 22400 24400, 22400 26800, 20800 26800, 20800 24400))
4335;POLYGON((27200 26800, 25600 26800, 25600 29200, 27200 29200, 27200 26800))
4336;POLYGON((24000 26800, 25600 26800, 25600 29200, 24000 29200, 24000 26800))
4337;POLYGON((22400 26800, 24000 26800, 24000 29200, 22400 29200, 22400 26800))
4338;POLYGON((20800 26800, 22400 26800, 22400 29200, 20800 29200, 20800 26800))
4431;POLYGON((25600 29200, 27200 29200, 27200 31600, 25600 31600, 25600 29200))
4432;POLYGON((24000 29200, 25600 29200, 25600 31600, 24000 31600, 24000 29200))
4433;POLYGON((22400 29200, 24000 29200, 24000 31600, 22400 31600, 22400 29200))
4434;POLYGON((20800 29200, 22400 29200, 22400 31600, 20800 31600, 20800 29200))
4435;POLYGON((27200 31600, 25600 31600, 25600 34000, 27200 34000, 27200 31600))
4436;POLYGON((24000 31600, 25600 31600, 25600 34000, 24000 34000, 24000 31600))
4437;POLYGON((22400 31600, 24000 31600, 24000 34000, 22400 34000, 22400 31600))
4438;POLYGON((20800 31600, 22400 31600, 22400 34000, 20800 34000, 20800 31600))
4531;POLYGON((25600 34000, 27200 34000, 27200 36400, 25600 36400, 25600 34000))
4532;POLYGON((24000 34000, 25600 34000, 25600 36400, 24000 36400, 24000 34000))
4533;POLYGON((22400 34000, 24000 34000, 24000 36400, 22400 36400, 22400 34000))
4534;POLYGON((20800 34000, 22400 34000, 22400 36400, 20800 36400, 20800 34000))
4535;POLYGON((27200 36400, 25600 36400, 25600 38800, 27200 38800, 27200 36400))
4536;POLYGON((24000 36400, 25600 36400, 25600 38800, 24000 38800, 24000 36400))
4537;POLYGON((22400 36400, 24000 36400, 24000 38800, 22400 38800, 22400 36400))
